"","x"
"1","ENSG00000121410"
"2","ENSG00000175899"
"3","ENSG00000291190"
"4","ENSG00000171428"
"5","ENSG00000156006"
"6","ENSG00000196136"
"7","ENSG00000114771"
"8","ENSG00000127837"
"9","ENSG00000129673"
"10","ENSG00000090861"
"11","ENSG00000183044"
"12","ENSG00000165029"
"13","ENSG00000107331"
"14","ENSG00000167972"
"15","ENSG00000131269"
"16","ENSG00000204574"
"17","ENSG00000225989"
"18","ENSG00000236149"
"19","ENSG00000236342"
"20","ENSG00000231129"
"21","ENSG00000232169"
"22","ENSG00000206490"
"23","ENSG00000198691"
"24","ENSG00000097007"
"25","ENSG00000002726"
"26","ENSG00000143322"
"27","ENSG00000175164"
"28","ENSG00000281879"
"29","ENSG00000159842"
"30","ENSG00000278741"
"31","ENSG00000276016"
"32","ENSG00000060971"
"33","ENSG00000278540"
"34","ENSG00000275176"
"35","ENSG00000076555"
"36","ENSG00000115361"
"37","ENSG00000117054"
"38","ENSG00000122971"
"39","ENSG00000196177"
"40","ENSG00000072778"
"41","ENSG00000075239"
"42","ENSG00000120437"
"43","ENSG00000108684"
"44","ENSG00000110881"
"45","ENSG00000087085"
"46","ENSG00000131473"
"47","ENSG00000122729"
"48","ENSG00000100312"
"49","ENSG00000291368"
"50","ENSG00000100412"
"51","ENSG00000161533"
"52","ENSG00000143727"
"53","ENSG00000134575"
"54","ENSG00000102575"
"55","ENSG00000014257"
"56","ENSG00000134940"
"57","ENSG00000143632"
"58","ENSG00000107796"
"59","ENSG00000075624"
"60","ENSG00000159251"
"61","ENSG00000184009"
"62","ENSG00000291420"
"63","ENSG00000163017"
"64","ENSG00000130402"
"65","ENSG00000282844"
"66","ENSG00000136518"
"67","ENSG00000072110"
"68","ENSG00000077522"
"69","ENSG00000248746"
"70","ENSG00000115170"
"71","ENSG00000135503"
"72","ENSG00000121989"
"73","ENSG00000114739"
"74","ENSG00000139567"
"75","ENSG00000243989"
"76","ENSG00000119640"
"77","ENSG00000170634"
"78","ENSG00000196839"
"79","ENSG00000151651"
"80","ENSG00000137845"
"81","ENSG00000160710"
"82","ENSG00000197381"
"83","ENSG00000185736"
"84","ENSG00000164742"
"85","ENSG00000078295"
"86","ENSG00000138031"
"87","ENSG00000173175"
"88","ENSG00000174233"
"89","ENSG00000121281"
"90","ENSG00000155897"
"91","ENSG00000162104"
"92","ENSG00000141433"
"93","ENSG00000078549"
"94","ENSG00000087274"
"95","ENSG00000075340"
"96","ENSG00000148700"
"97","ENSG00000147872"
"98","ENSG00000187758"
"99","ENSG00000196616"
"100","ENSG00000248144"
"101","ENSG00000198099"
"102","ENSG00000197894"
"103","ENSG00000172955"
"104","ENSG00000196344"
"105","ENSG00000156110"
"106","ENSG00000148926"
"107","ENSG00000163485"
"108","ENSG00000128271"
"109","ENSG00000170425"
"110","ENSG00000282608"
"111","ENSG00000144843"
"112","ENSG00000143799"
"113","ENSG00000102699"
"114","ENSG00000227105"
"115","ENSG00000171873"
"116","ENSG00000170214"
"117","ENSG00000120907"
"118","ENSG00000150594"
"119","ENSG00000274286"
"120","ENSG00000184160"
"121","ENSG00000043591"
"122","ENSG00000169252"
"123","ENSG00000188778"
"124","ENSG00000173020"
"125","ENSG00000100077"
"126","ENSG00000239900"
"127","ENSG00000035687"
"128","ENSG00000196961"
"129","ENSG00000183020"
"130","ENSG00000281385"
"131","ENSG00000280759"
"132","ENSG00000100280"
"133","ENSG00000006125"
"134","ENSG00000166747"
"135","ENSG00000106624"
"136","ENSG00000104964"
"137","ENSG00000124812"
"138","ENSG00000293510"
"139","ENSG00000079557"
"140","ENSG00000081051"
"141","ENSG00000038002"
"142","ENSG00000157766"
"143","ENSG00000204305"
"144","ENSG00000231268"
"145","ENSG00000229058"
"146","ENSG00000237405"
"147","ENSG00000234729"
"148","ENSG00000206320"
"149","ENSG00000230514"
"150","ENSG00000162688"
"151","ENSG00000159723"
"152","ENSG00000101384"
"153","ENSG00000135744"
"154","ENSG00000144891"
"155","ENSG00000180772"
"156","ENSG00000134817"
"157","ENSG00000172482"
"158","ENSG00000169297"
"159","ENSG00000101444"
"160","ENSG00000106546"
"161","ENSG00000145192"
"162","ENSG00000204472"
"163","ENSG00000235588"
"164","ENSG00000206428"
"165","ENSG00000237727"
"166","ENSG00000234836"
"167","ENSG00000235985"
"168","ENSG00000112297"
"169","ENSG00000106992"
"170","ENSG00000004455"
"171","ENSG00000162433"
"172","ENSG00000142208"
"173","ENSG00000105221"
"174","ENSG00000148218"
"175","ENSG00000023330"
"176","ENSG00000158578"
"177","ENSG00000163631"
"178","ENSG00000170017"
"179","ENSG00000101986"
"180","ENSG00000165092"
"181","ENSG00000111275"
"182","ENSG00000108602"
"183","ENSG00000137124"
"184","ENSG00000184254"
"185","ENSG00000006534"
"186","ENSG00000132746"
"187","ENSG00000143149"
"188","ENSG00000072210"
"189","ENSG00000173208"
"190","ENSG00000149925"
"191","ENSG00000136872"
"192","ENSG00000109107"
"193","ENSG00000085662"
"194","ENSG00000171094"
"195","ENSG00000108839"
"196","ENSG00000012779"
"197","ENSG00000275565"
"198","ENSG00000132965"
"199","ENSG00000179477"
"200","ENSG00000291084"
"201","ENSG00000161905"
"202","ENSG00000179593"
"203","ENSG00000163295"
"204","ENSG00000162551"
"205","ENSG00000163283"
"206","ENSG00000163286"
"207","ENSG00000156150"
"208","ENSG00000178522"
"209","ENSG00000106927"
"210","ENSG00000123505"
"211","ENSG00000125363"
"212","ENSG00000099721"
"213","ENSG00000159461"
"214","ENSG00000104899"
"215","ENSG00000135409"
"216","ENSG00000116748"
"217","ENSG00000116337"
"218","ENSG00000133805"
"219","ENSG00000078053"
"220","ENSG00000136717"
"221","ENSG00000145020"
"222","ENSG00000237763"
"223","ENSG00000174876"
"224","ENSG00000187733"
"225","ENSG00000243480"
"226","ENSG00000240038"
"227","ENSG00000227408"
"228","ENSG00000214274"
"229","ENSG00000154188"
"230","ENSG00000091879"
"231","ENSG00000029534"
"232","ENSG00000145362"
"233","ENSG00000151150"
"234","ENSG00000166825"
"235","ENSG00000151729"
"236","ENSG00000005022"
"237","ENSG00000169100"
"238","ENSG00000292334"
"239","ENSG00000135046"
"240","ENSG00000182718"
"241","ENSG00000138772"
"242","ENSG00000196975"
"243","ENSG00000164111"
"244","ENSG00000197043"
"245","ENSG00000138279"
"246","ENSG00000122359"
"247","ENSG00000104537"
"248","ENSG00000136250"
"249","ENSG00000131480"
"250","ENSG00000138356"
"251","ENSG00000120868"
"252","ENSG00000164978"
"253","ENSG00000175336"
"254","ENSG00000107282"
"255","ENSG00000276497"
"256","ENSG00000034053"
"257","ENSG00000276495"
"258","ENSG00000166313"
"259","ENSG00000163697"
"260","ENSG00000134982"
"261","ENSG00000132703"
"262","ENSG00000160224"
"263","ENSG00000164062"
"264","ENSG00000100823"
"265","ENSG00000291796"
"266","ENSG00000110330"
"267","ENSG00000023445"
"268","ENSG00000101966"
"269","ENSG00000089685"
"270","ENSG00000105290"
"271","ENSG00000084234"
"272","ENSG00000118137"
"273","ENSG00000158874"
"274","ENSG00000110244"
"275","ENSG00000084674"
"276","ENSG00000291544"
"277","ENSG00000111701"
"278","ENSG00000130208"
"279","ENSG00000291128"
"280","ENSG00000103375"
"281","ENSG00000234906"
"282","ENSG00000110245"
"283","ENSG00000267467"
"284","ENSG00000189058"
"285","ENSG00000130203"
"286","ENSG00000091583"
"287","ENSG00000142192"
"288","ENSG00000198931"
"289","ENSG00000142515"
"290","ENSG00000026103"
"291","ENSG00000117560"
"292","ENSG00000146950"
"293","ENSG00000240583"
"294","ENSG00000167580"
"295","ENSG00000165272"
"296","ENSG00000171885"
"297","ENSG00000161798"
"298","ENSG00000086159"
"299","ENSG00000165269"
"300","ENSG00000103569"
"301","ENSG00000169083"
"302","ENSG00000091262"
"303","ENSG00000275331"
"304","ENSG00000078061"
"305","ENSG00000095139"
"306","ENSG00000113595"
"307","ENSG00000109321"
"308","ENSG00000143761"
"309","ENSG00000134287"
"310","ENSG00000168374"
"311","ENSG00000175906"
"312","ENSG00000004059"
"313","ENSG00000165527"
"314","ENSG00000118520"
"315","ENSG00000081181"
"316","ENSG00000067560"
"317","ENSG00000143878"
"318","ENSG00000155366"
"319","ENSG00000115963"
"320","ENSG00000177105"
"321","ENSG00000175220"
"322","ENSG00000089820"
"323","ENSG00000100852"
"324","ENSG00000047648"
"325","ENSG00000141522"
"326","ENSG00000111348"
"327","ENSG00000242173"
"328","ENSG00000168421"
"329","ENSG00000120805"
"330","ENSG00000165462"
"331","ENSG00000213465"
"332","ENSG00000138175"
"333","ENSG00000143437"
"334","ENSG00000133794"
"335","ENSG00000120500"
"336","ENSG00000137486"
"337","ENSG00000141480"
"338","ENSG00000100299"
"339","ENSG00000113273"
"340","ENSG00000101846"
"341","ENSG00000006756"
"342","ENSG00000157399"
