ensembl_id,approvedSymbol,drugId,phase,diseaseId,
ENSG00000183044,ABAT,CHEMBL89598,4,MONDO_0005027,
ENSG00000183044,ABAT,CHEMBL89598,4,MONDO_0005027,
ENSG00000183044,ABAT,CHEMBL89598,4,MONDO_0005384,
ENSG00000183044,ABAT,CHEMBL89598,4,MONDO_0006710,
ENSG00000183044,ABAT,CHEMBL89598,4,MONDO_0018097,
ENSG00000183044,ABAT,CHEMBL89598,4,MONDO_0018097,
ENSG00000183044,ABAT,CHEMBL89598,3,MONDO_0100062,
ENSG00000183044,ABAT,CHEMBL89598,3,MONDO_0018097,
ENSG00000183044,ABAT,CHEMBL89598,3,MONDO_0100062,
ENSG00000183044,ABAT,CHEMBL89598,2,MONDO_0005186,
ENSG00000183044,ABAT,CHEMBL89598,2,MONDO_0011122,
ENSG00000183044,ABAT,CHEMBL89598,2,MONDO_0005419,
ENSG00000183044,ABAT,CHEMBL89598,2,MONDO_0005186,
ENSG00000183044,ABAT,CHEMBL89598,2,MONDO_0001734,
ENSG00000183044,ABAT,CHEMBL89598,2,MONDO_0001734,
ENSG00000183044,ABAT,CHEMBL89598,2,MONDO_0007079,
ENSG00000183044,ABAT,CHEMBL89598,1,MONDO_0007661,
ENSG00000183044,ABAT,CHEMBL89598,1,MONDO_0005186,
ENSG00000165029,ABCA1,CHEMBL608,4,MONDO_0004995,
ENSG00000165029,ABCA1,CHEMBL608,3,MONDO_0021187,
ENSG00000165029,ABCA1,CHEMBL608,2,MONDO_0005016,
ENSG00000165029,ABCA1,CHEMBL608,2,MONDO_0005386,
ENSG00000097007,ABL1,CHEMBL1421,4,MONDO_0004967,
ENSG00000097007,ABL1,CHEMBL2105708,4,MONDO_0004967,
ENSG00000097007,ABL1,CHEMBL1421,4,MONDO_0004967,
ENSG00000097007,ABL1,CHEMBL2095206,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL4297220,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL1201740,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL1421,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL1421,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL1642,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL1421,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL1421,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL1642,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL2105708,4,MONDO_0011996,
ENSG00000097007,ABL1,CHEMBL1421,4,MONDO_0005070,
ENSG00000097007,ABL1,CHEMBL4208229,4,MONDO_0005070,
ENSG00000097007,ABL1,CHEMBL1946170,4,MONDO_0005070,
